rank,tier,zip,state,owner,units,has_fhfa
1,A,77494,TX,30247,44520,1
2,A,78660,TX,29818,44399,1
3,A,32162,FL,29376,37824,1
4,A,77449,TX,27716,40773,1
5,A,77573,TX,27212,37188,1
6,A,77433,TX,26802,34420,1
7,A,77429,TX,26477,33137,1
8,A,78641,TX,25515,33118,1
9,A,63376,MO,24584,30718,1
10,A,77479,TX,24564,30680,1
11,A,78130,TX,24486,40810,1
12,A,79936,TX,24113,36825,1
13,A,27587,NC,23666,30571,1
14,A,85142,AZ,23654,27701,1
15,A,10314,NY,23446,33554,1
16,A,95747,CA,23263,29457,1
17,A,79938,TX,23251,29818,1
18,A,73099,OK,23122,32654,1
19,A,92336,CA,22981,28489,1
20,A,77584,TX,22936,32579,1
21,A,34953,FL,22833,28131,1
22,A,77459,TX,22743,28071,1
23,A,80134,CO,22566,28663,1
24,A,30040,GA,22487,27642,1
25,A,85383,AZ,22371,25570,1
26,A,30024,GA,22278,29306,1
27,A,30041,GA,22091,27027,1
28,A,78245,TX,22029,32219,1
29,A,34787,FL,22017,33141,1
30,A,46307,IN,22010,26081,1
31,A,78613,TX,21791,34198,1
32,A,77084,TX,21733,39087,1
33,A,77379,TX,21654,30004,1
34,A,11234,NY,21652,35167,1
35,A,33411,FL,21544,30063,1
36,A,08831,NJ,21380,24898,1
37,A,75035,TX,21312,29198,1
38,A,77346,TX,21307,26650,1
39,A,44060,OH,21163,27276,1
40,A,83646,ID,21137,26829,1
41,A,29072,SC,21092,26951,1
42,A,44256,OH,20962,26740,1
43,A,79928,TX,20962,24841,1
44,A,60629,IL,20957,36283,1
45,A,30052,GA,20897,26768,1
46,A,66062,KS,20870,29350,1
47,A,87120,NM,20823,27432,1
48,A,37013,TN,20745,41112,1
49,A,30127,GA,20726,25289,1
50,A,02360,MA,20596,28598,1
51,A,34293,FL,20526,28344,1
52,A,78254,TX,20514,25493,1
53,A,30188,GA,20509,26759,1
54,A,37075,TN,20505,29600,1
55,A,76028,TX,20468,27928,1
56,A,30043,GA,20446,30251,1
57,A,80015,CO,20410,25482,1
58,A,29681,SC,20405,25079,1
59,A,60634,IL,20399,29344,1
60,A,08753,NJ,20316,27900,1
61,A,75052,TX,20277,33386,1
62,A,95630,CA,20183,30106,1
63,A,33027,FL,20119,26247,1
64,A,22193,VA,19824,25121,1
65,A,45011,OH,19774,28470,1
66,A,76179,TX,19766,26227,1
67,A,23464,VA,19710,29267,1
68,A,80013,CO,19706,26692,1
69,A,30044,GA,19633,32206,1
70,A,32259,FL,19601,23235,1
71,A,37042,TN,19587,35433,1
72,A,21122,MD,19582,23624,1
73,A,92592,CA,19580,25878,1
74,A,43123,OH,19556,27876,1
75,A,28269,NC,19521,33124,1
76,A,33467,FL,19485,25675,1
77,A,23322,VA,19431,22386,1
78,A,34711,FL,19409,28127,1
79,A,32174,FL,19386,26303,1
80,A,97229,OR,19314,28312,1
81,A,87121,NM,19295,26118,1
82,A,76063,TX,19273,28105,1
83,A,75126,TX,19249,24316,1
84,A,37122,TN,19247,25608,1
85,A,77407,TX,19218,25284,1
86,A,55044,MN,19209,22519,1
87,A,78572,TX,19167,32696,1
88,A,28078,NC,19057,27659,1
89,A,30062,GA,19023,24178,1
90,A,37064,TN,18916,25302,1
91,A,30004,GA,18877,25485,1
92,A,87114,NM,18755,28038,1
93,A,37027,TN,18746,23745,1
94,A,80016,CO,18745,24227,1
95,A,93065,CA,18687,26260,1
96,A,38401,TN,18640,28470,1
97,A,99301,WA,18482,27700,1
98,A,85308,AZ,18461,26540,1
99,A,77406,TX,18447,22096,1
100,A,11746,NY,18416,22528,1
101,A,77845,TX,18404,31464,1
102,A,60618,IL,18361,41053,1
103,A,75068,TX,18275,23499,1
104,A,90650,CA,18256,27346,1
105,A,23456,VA,18229,22071,1
106,A,75002,TX,18226,24174,1
107,A,94565,CA,18214,31173,1
108,A,28027,NC,18202,31450,1
109,A,66061,KS,18153,24744,1
110,A,33063,FL,18117,27019,1
111,A,98012,WA,18111,28174,1
112,A,30349,GA,18077,34176,1
113,A,91709,CA,18059,26282,1
114,A,37128,TN,18043,29190,1
115,A,80504,CO,18037,23359,1
116,A,15601,PA,18020,25978,1
117,A,77095,TX,17998,26429,1
118,A,94513,CA,17964,22546,1
119,A,14221,NY,17956,25281,1
120,A,77469,TX,17947,22854,1
121,A,60453,IL,17940,23115,1
122,A,89031,NV,17901,25182,1
123,A,95648,CA,17861,22095,1
124,A,28173,NC,17849,20801,1
125,A,83709,ID,17839,22262,1
126,A,08527,NJ,17789,21755,1
127,A,21234,MD,17770,29575,1
128,A,80634,CO,17754,25802,1
129,A,30022,GA,17719,24330,1
130,A,32137,FL,17680,24717,1
131,A,48044,MI,17671,20031,1
132,A,77386,TX,17668,22778,1
133,A,38654,MS,17668,21437,1
134,A,45140,OH,17667,22684,1
135,A,84043,UT,17621,23408,1
136,A,77450,TX,17615,26259,1
137,A,30075,GA,17602,22190,1
138,A,11758,NY,17588,19297,1
139,A,63021,MO,17541,22982,1
140,A,87124,NM,17530,23027,1
141,A,20906,MD,17522,27423,1
142,A,78640,TX,17519,25236,1
143,A,27526,NC,17503,22612,1
144,A,30135,GA,17441,23823,1
145,A,10312,NY,17426,22547,1
146,A,35242,AL,17353,25247,1
147,A,28277,NC,17340,30100,1
148,A,08759,NJ,17270,22101,1
149,A,59901,MT,17255,25154,1
150,A,29732,SC,17255,24926,1
151,A,44077,OH,17250,24928,1
152,A,76244,TX,17244,26098,1
153,A,43026,OH,17238,25671,1
154,A,77375,TX,17236,25452,1
155,A,78253,TX,17216,24095,1
156,A,11375,NY,17214,35415,1
157,A,30066,GA,17197,23632,1
158,A,92563,CA,17155,24020,1
159,A,33321,FL,17147,24009,1
160,A,78542,TX,17136,25198,1
161,A,98391,WA,17110,20573,1
162,A,17331,PA,17093,23528,1
163,A,75071,TX,17086,23861,1
164,A,91342,CA,17073,26403,1
165,A,29483,SC,17045,23133,1
166,A,22407,VA,17042,23305,1
167,A,32940,FL,17027,21433,1
168,A,14580,NY,17016,24355,1
169,A,60617,IL,16997,35031,1
170,A,27284,NC,16995,25168,1
171,A,84404,UT,16979,23907,1
172,A,20772,MD,16951,19658,1
173,A,92677,CA,16949,27527,1
174,A,23112,VA,16944,21511,1
175,A,92345,CA,16940,27247,1
176,A,44035,OH,16935,29637,1
177,A,85338,AZ,16935,23748,1
178,A,20147,VA,16899,25474,1
179,A,20878,MD,16875,25297,1
180,A,79912,TX,16851,33856,1
181,A,60638,IL,16837,21636,1
182,A,85032,AZ,16830,30386,1
183,A,84015,UT,16822,23058,1
184,A,11236,NY,16816,37002,1
185,A,30281,GA,16811,29546,1
186,A,29651,SC,16801,21738,1
187,A,30101,GA,16790,21788,1
188,A,87111,NM,16784,28192,1
189,A,84096,UT,16774,21168,1
190,A,85225,AZ,16764,28930,1
191,A,27610,NC,16740,29245,1
192,A,17603,PA,16732,28142,1
193,A,45040,OH,16725,21977,1
194,A,63129,MO,16698,21945,1
195,A,30016,GA,16686,21223,1
196,A,63366,MO,16678,21204,1
197,A,19120,PA,16659,25730,1
198,A,85326,AZ,16656,22417,1
199,A,73013,OK,16641,22971,1
200,A,48180,MI,16630,26741,1
201,A,19067,PA,16606,21792,1
202,A,74012,OK,16598,26069,1
203,A,30047,GA,16581,22691,1
204,A,27703,NC,16545,27122,1
205,A,77373,TX,16527,23619,1
206,A,43130,OH,16501,26434,1
207,A,70726,LA,16491,24925,1
208,A,15642,PA,16478,20299,1
209,A,94558,CA,16477,27402,1
210,A,45069,OH,16452,21727,1
211,A,34221,FL,16441,24812,1
212,A,34135,FL,16417,30904,1
